"","Year","Area","Street","Street.2"
"454",2011,"Birmingham","Suttonnewroaderdingtonb'ham",NA
"455",2011,"Birmingham","Suttonparade",NA
"456",2011,"Birmingham","Suttonparade",NA
"457",2011,"Birmingham","Suttonparade",NA
"458",2011,"Birmingham","Suttontowncentre",NA
"459",2011,"Birmingham","Suttontowncentre",NA
"460",2011,"Birmingham","Suttontowncentre",NA
"461",2011,"Birmingham","Suttontowncentre",NA
"462",2011,"Birmingham","Suttontowncentre",NA
"463",2011,"Birmingham","Tedburycrescent",NA
"464",2011,"Birmingham","Tesco'sExpressWalsallRoadFourOaksSuttonColdfield",NA
"465",2011,"Birmingham","Theparade",NA
"466",2011,"Birmingham","Theparade",NA
"467",2011,"Birmingham","Theparade",NA
"468",2011,"Birmingham","Theparadesutton",NA
"469",2011,"Birmingham","Theparadesuttoncoldfield",NA
"470",2011,"Birmingham","Theparadebirminghamroadsuttoncoldfield",NA
"471",2011,"Birmingham","Theparadesuttoncoldfield",NA
"472",2011,"Birmingham","Theparadesuttoncoldfield",NA
"473",2011,"Birmingham","Theparadesuttoncoldfield",NA
"474",2011,"Birmingham","Theparadesuttoncoldfield",NA
"475",2011,"Birmingham","Theparadesuttoncoldfield",NA
"476",2011,"Birmingham","Theparadesuttoncoldfield",NA
"477",2011,"Birmingham","Theparadesuttontowncentre",NA
"478",2011,"Birmingham","Theparade",NA
"479",2011,"Birmingham","Theridgeway",NA
"480",2011,"Birmingham","Theridgeway",NA
"481",2011,"Birmingham","Theridgeway",NA
"482",2011,"Birmingham","Theswanph",NA
"483",2011,"Birmingham","Turnhouseroad",NA
"484",2011,"Birmingham","Upperhollandroad",NA
"485",2011,"Birmingham","Victoriard",NA
"486",2011,"Birmingham","Victoriard",NA
"487",2011,"Birmingham","Victoriard",NA
"488",2011,"Birmingham","Walshdrivewalmleysuttoncoldfield",NA
"489",2011,"Birmingham","Warrenfarmrd",NA
"490",2011,"Birmingham","Warrenfarmroad",NA
"491",2011,"Birmingham","Whitehousecommonrd",NA
"492",2011,"Birmingham","Wiltonrd",NA
